,title,text,subject,date,label,has_mentions
12,callista gingrich becomes trump s envoy pope difference mount,vatican city reuters callista gingrich wife former speaker u s house representative friday became u s ambassador vatican odds washington immigration climate change jerusalem callista gingrich author documentary filmmaker former congressional aide presented credential pope francis vatican officially assume role husband newt gingrich early supporter vocal ally u s president donald trump newt gingrich expected continue role political contributor fox news new base rome trump s nomination callista gingrich post holy see may caused controversy marriage gingrich became involved still married second wife roman catholic thursday attended funeral vatican cardinal bernard law resigned archbishop boston year ago covering year sexual abuse child priest pope implicitly criticized trump s decision pull paris accord climate change said last month denying climate change indifferent effect perverse attitude blocked research dialogue aimed protecting future planet francis also opposed trump s decision recognize jerusalem israel s capital pontiff called respect city s status quo saying new tension middle east would inflame world conflict thursday united nation vatican permanent observer status country defied trump voted favor resolution calling united state drop recent recognition u s embassy said statement new ambassador look forward working holy see defend human right advance religious freedom combat human trafficking seek peaceful solution crisis around world,politicsNews,"December 22, 2017 ",real,False
13,senator cornyn trying get big corn behind u s biofuels reform,reuters senator john cornyn no senate republican trying win support midwest corn lobby broad legislative overhaul nation s biofuels policy according source familiar matter effort come president donald trump s white house mediates talk rival oil corn industry renewable fuel standard requires oil refiner blend increasing amount corn based ethanol biofuels nation s fuel supply every year oil refiner say regulation cost hundred million dollar year threatening put handful nation s refinery business ethanol interest far refused budge proposal change it cornyn is working hard unify stakeholder consensus effort reform renewable fuel standard aide senator told reuters aide asked named provide detail cornyn texas u s state home oil refinery part senate s leadership team responsible securing vote needed pas republican party s legislative agenda two lobbyist oil refining industry said cornyn success cobbling together coalition lawmaker stakeholder around potential rf reform bill could dropped early next year however similar effort unify rival faction fallen flat past effort would need buy in legislative backer ethanol industry like republican senator chuck grassley joni ernst iowa top producing state corn official senator respond repeated request comment grassley ernst previously repeatedly expressed intention defend rf current form white house hosting negotiation side issue short term remedy provide relief refiner struggling existing regulation refining industry say compliance cost hundred million dollar year threatens put refinery business refinery adequate facility blend ethanol gasoline must purchase blending credit called rins rival do rin price risen recent year amount biofuels required rf increased refinery buy rins include philadelphia energy solution monroe energy pennsylvania valero energy corp texas valero said rins cost around million last year though competing argument whether refiner pas along cost senator ted cruz also texas last week sent proposal white house cap price rins cent each fraction current price proposal widely rejected ethanol industry ethanol industry said past placing cap credit non starter instead argued policy increase volume ethanol u s gasoline supply industry claim would boost supply credit lowering price price renewable fuel credit fallen recent week report discussion washington price hit cent wednesday nearing seven month low according trader oil price information service white house yet commented cruz s proposal rf introduced former president george w bush way boost u s agriculture slash energy import cut emission since fostered market ethanol amounting billion gallon year refining industry pressed trump administration repeatedly adopt reform would lower credit cost otherwise ease burden refinery ethanol industry successfully defeated effort far,politicsNews,"December 20, 2017 ",real,False
14,bad news trump mitch mcconnell say repealing obamacare,republican seven year come viable replacement obamacare failed miserably taking victory lap gifting wealthy tax break wednesday donald trump looked camera said essentially repealed obamacare come something much better obamacare repealed bill added well like thing trump say true but former reality show star could done order eradicate former president obama signature legislation would without offering alternative senate majority leader mitch mcconnell told npr bipartisan year hope new year going pivot become cooperative obamacare repeal doa well obviously unable completely repeal replace senate kentucky republican said take look look like senate think probably move issue npr report mcconnell hope focus instead stabilizing insurance marketplace keep premium skyrocketing early month promise made moderate republican sen susan collins maine get support tax bill on top mcconnell broke house speaker paul ryan r wi approach paring back spending program like medicaid food stamp mcconnell told npr interested using senate budget rule allow republican cut entitlement without consultation democrat think entitlement change sustained almost always bipartisan mcconnell said house may different agenda democratic friend senate want join u tackle kind entitlement reform happy take look it coming mitch mcconnell know donald trump destroying gop matter sen mcconnell still recall saying number one priority making sure president obama one term president well hoping trump last full term funny work photo chip somodevilla getty image,News,"December 21, 2017",fake,False
15,new york time report there s actual russian agent congress code name,year ago house majority leader kevin mccarthy caught oops hot mic saying two people washington paid russian donald trump california gop rep dana rohrabacher sadly two people still office a new report new york time though confirms half mccarthy comment rohrabacher paid russian russian agent code name even new information according time report fbi warned rohrbacher russian viewed source given code name next year congress elevated chairmanship foreign affair subcommittee overseas russian policy nope nothing fishy there rohrabacher seem much involvement trump campaign that would obvious even russian special investigator robert mueller eyeing nonetheless a revelation russia campaign influence american politics consume washington mr rohrabacher known role trump election campaign come political investigative scrutiny f b i senate intelligence committee seeking interview august meeting julian assange founder wikileaks mr rohrabacher said special counsel robert s mueller iii said interested meeting last year michael t flynn mr trump short lived national security adviser rohrabacher russian connection go back year though young reaganite got warm fuzzies fall soviet union developed relationship vladimir putin s rohrabacher lost arm wrestling match man would become president life whatever hell putin call himself rohrabacher naturally denies russian agent mr rohrabacher laughed suggestion russian asset said interview remember briefed russian viewed source f b i senior member house intelligence committee sat mr rohrabacher capitol warn russian spy trying recruit him according two former intelligence official remember telling me targeted recruited agent said stupid that only action paint different picture served might called delivery boy russia either trump campaign rnc picked memo targeting democratic donor rohrabacher also met wikileaks julian assange russian accused criminal oligarch rohrabacher insists nothing untoward going on goal say bring russia help u battle terrorism fair russia could help rein terrorism would stop funding terrorist like syrian president bashir assad republican finding bit easier distance rohrabacher alleged russian agent donald trump limiting power foreign affair committee politically could disaster rohrabacher facing tough race california better believe opponent using russian connection him han keirstead prominent stem cell researcher competing five democrat challenge mr rohrabacher compared republican russia record prologue bad book got russian tainted congressman mr keirstead said interview adding constituent th district vote individual whose interest elsewhere course rohrabacher like anyone trained dictator fundraising it calling attack featured image via adam berry getty image,News,"November 22, 2017",fake,False
16,source confirm robert mueller s office interviewed jared kushner several week ago,jared kushner senior white house adviser son in law president donald trump interviewed special counsel robert mueller office beginning november according source familiar process part interview lasted approximately minute kushner quizzed mainly interaction meeting general contact former national security adviser michael flynn well son regard flynn private business dealing firm flynn intel group mr kushner voluntarily cooperated relevant inquiry continue so kushner attorney abbe lowell said statement given nbc news the news kushner interview first came light grand jury testimony related flynn private business dealing postponed prosecutor working mueller reason still unclear postponement came week flynn attorney alerted president trump legal team information related case could longer shared two party allowed publicly comment matter uncommon defense team share information practice considered unethical conflict interest arises donald trump ever particularly concerned matter trivial ethic fact flynn attorney longer sharing information trump legal team way proof flynn cooperating special counsel decent sign working them trump team expecting quite time probably plea deal jay sekulow member president trump legal team told cbs news earlier month assumption plea necessarily mean anything president manafort indictment anything campaign trump michael flynn served head defense intelligence agency fired position former president barack obama however still retained security clearance even trump presidential campaign transition white house flynn role terminated day trump presidency possible cooperation flynn prosecution could give mueller counsel insight trump campaign operation potential dealing russia well first week presidency the fbi already looking flynn trump lobbying flynn intel group research work unfinished film firm paid turkish businessman employee sphere consulting public relation work film turning document requested mueller investigator sitting voluntary interview several month featured image via olivier douliery pool getty image,News,"November 30, 2017",fake,False
17,ivanka defends malia obama attack dad s fan won t stop she look like baboon,ivanka trump chelsea clinton defended malia obama conservative website published breaking news showing former president daughter acting like year old college student is obama seen one photo kissing harvard university boyfriend video circulated showing blowing smoke ring reason made trump supporter head explode malia obama allowed privacy school aged peer ivanka trump tweeted young adult private citizen limit malia obama allowed privacy school aged peer young adult private citizen limit ivanka trump ivankatrump november trump fan it woman suggested malia obama bragged somehow broke law blowing smoke ring maybe girl drinking underage brag going adult club regular citizen would arrested protected allowed break law michelle naylor michell november sorry disagree there key word adult young old still adult celina maccadanza celinasivret november look like baboon blow smoke ring randall weems many asking ga dsarubshands november she bad apple rotting barrel ww wwmag november chelsea clinton weighed in too malia obama private life young woman college student private citizen clickbait wrote better malia obama private life young woman college student private citizen clickbait better chelsea clinton chelseaclinton november that too fell deaf ear yes high road much trashed trump selective bullying malia deserves bashing getting let hear michelle talk anti smoking schockerone myjuiceplusbiz november barron trump child hypocrisy dee dee november it somehow racist pick obama daughter funny prior president kid picked medium obama kid horrible double standard racist darren gaskin kentuckyrunner november we need lectured clinton better marietweets mkues november ivanka finally said something u agree father supporter going let up photo sean gallup getty image,News,"November 24, 2017",fake,False
18,bill could make congress member liable harassment payouts,washington reuters lawmaker party working legislation would make member congress liable settlement sexual harassment claim them new data show public fund used settle nearly dozen case misconduct last decade employment office congress paid public money settle eight claim lawmaker alleging sexual harassment discrimination according data provided tuesday representative gregg harper republican chairman house administration committee drafting bill overhaul congress handle sexual harassment office compliance previously said resolved three case since provision settlement agreement legal limit block office disclosing detail payouts made behalf lawmaker including identity involved issue come light allegation misconduct swirl around capitol hill growing wave woman reporting abuse misconduct brought powerful men recently movie producer harvey weinstein popular television personality matt lauer well one longest serving democrat congress former representative john conyers harper said tuesday hope file bipartisan bill wednesday evening overhauling congress handle sexual harassment would include making lawmaker personally liable settlement they reimburse government payouts told reporter there s doubt member made clear taxpayer dollar used purpose settling sexual harassment claim harper expects swift action house voting bill next month democratic representative jackie speier proposed similar legislation working harper republican said thrilled bill bipartisan legislation sexual harassment introduced senate last week letter harper compliance office s executive director said paid settle total claim employment discrimination retaliation harassment fiscal fiscal according letter eight claim included sexual harassment discrimination often involved violation breaking federal wage rule two claim simply categorized retaliation rest focused racial age disability discrimination largest amount paid year labeled sexual harassment harassment retaliation office investigatory authority cannot probe allegation said executive director susan tsui grundmann letter settlement typically nondisclosure provision said adding office found admission liability settlement document,politicsNews,"December 19, 2017 ",real,False
19,sitting gop senator enough donates alabama democrat senate image,arizona republican senator jeff flake never fan donald trump incendiary divisive brand politics now leading gop voice electing roy moore r al united state senate moore accused child molester lifetime history making kind bigoted incendiary comment said homosexuality illegal muslim allowed serve congress moore also removed twice alabama supreme court refusing comply higher court ruling well flake finally enough party enabling character like moore already said lived alabama voting democrat doug jones now flake taken support jones even further wake republican national committee decision support accused child molester rather democrat taking twitter senator flake posted image check made doug jones senate campaign tweet captioned country party country party pic twitter com jzmtaeydxq jeff flake jeffflake december now agree jeff flake anything politically say trying act morality decency here one could argue flake plan retire senate mean without consequence point matter not need pedophile united state senate gop apparatus ashamed trying get roy moore elected but hey better pedophile democrat right featured image drew angerer getty image,News,"December 5, 2017",fake,False
20,trump laugh philippine leader call journalist spy country journalist routinely murdered,donald trump probably wish united state like philippine trump downright chummy mass murderer human right violator rodrigo duterte monday association southeast asian nation summit manila not trump refuse nail duterte violating human right laughed duterte accused journalist spy peppered dictatorial duo question human right would talking matter interest philippine around guy spy duterte said drawing laughter trump bloomber reporter jennifer jacob chronicled duterte trump treated journalist summit duterte made joke end trump bilat a press shooed out duterte said talking matter interest philippine said around guy spy trump chuckled pic twitter com dqfxsjt jennifer jacob jenniferjjacobs november when reporter asked pres trump would bring human right duterte duterte shut saying news conference steve holland steveholland november would like medium leave u alone may leave room duterte say minute summit meeting press ushered out pic twitter com lhffgpxju jennifer jacob jenniferjjacobs november trump attacking medium since announced candidacy back relentlessly attacked medium since taking office accusing journalist writing reporting fake news ever since became philippine leader duterte responsible killing people casualty war drug duterte promised wage campaign president obama sharp critic duterte duterte retaliated calling son whore sought closer tie china russia course trump like duterte avoided calling abuse power trump even invited duterte white house trump amusement duterte remark journalist particularly alarming since philippine one deadly place earth journalist newsweek report journalist killed since and trump added insult injury even discussing duterte terrible human right record instead let duterte talking merely nodded agreement him again trump demonstrates coward walked world leader conservative bitched moaned whenever president obama bowed greet world leader apparently okay trump laying down featured image justin sullivan getty image,News,"November 13, 2017",fake,False
21,hilarious campaign ad show voter avoid scandalous elected official,michigan upcoming election present voter interesting option could first time all female ticket every major office contested senator debbie stabenow re election odds good nominee governor attorney general secretary state woman at least one candidate think good thing democratic candidate ag dana nessel produced campaign ad capitalizes benefit female come running public office namely fact d ck wave every passerby with wave allegation last week beginning outing movie mogul harvey weinstein total pervert sexual predator seems like everywhere look someone else ousted position job least acted like pig case allegation even worse of course everyone suffering paradigm shift stoked bravery woman across america around world highest office country is course occupied man accused least woman everything sexual harassment actual inappropriate physical touching open u senate seat alabama currently contested by democratic side guy successfully prosecuted bombing th street baptist church birmingham killed four young black girl republican side guy accused pursuing dating touching teenage girl young assistant district attorney s dana nessel want help avoid unseemly contact potentially predatory men simply one w hen choosing michigan next attorney general ask this trust show penis professional setting candidate penis say so watch amazing ad here featured image via bill pugliano getty image,News,"November 30, 2017",fake,False
22,fbi russia probe helped australian diplomat tip off nyt,washington reuters trump campaign adviser george papadopoulos told australian diplomat may russia political dirt democratic presidential candidate hillary clinton new york time reported saturday conversation papadopoulos diplomat alexander downer london driving factor behind fbi s decision open counter intelligence investigation moscow s contact trump campaign time reported two month meeting australian official passed information came papadopoulos american counterpart leaked democratic email began appearing online according newspaper cited four current former u s foreign official besides information australian probe federal bureau investigation also propelled intelligence friendly government including british dutch time said papadopoulos chicago based international energy lawyer pleaded guilty oct lying fbi agent contact people claimed tie top russian official first criminal charge alleging link trump campaign russia white house played former aide s campaign role saying extremely limited action took would own new york time however reported papadopoulos helped set meeting then candidate donald trump egyptian president abdel fattah al sisi edited outline trump s first major foreign policy speech april federal investigation led special counsel robert mueller hung trump s white house since took office almost year ago trump ally recently accused mueller s team biased republican president lawyer papadopoulos immediately respond request reuters comment mueller s office declined comment trump s white house attorney ty cobb declined comment new york time report out respect special counsel process commenting matter this said statement mueller charged four trump associate including papadopoulos investigation russia denied interfering u s election trump said collusion campaign moscow,politicsNews,"December 30, 2017 ",real,False
